z,Q2,flavor,flavor_index,nrep,H1perp1_mean,H1perp1_std
0.01,4.0,u,1,50,1.0398844618273444,2.9494267190058343
0.01,4.0,ub,2,50,-41.07025704918364,62.515958556278285
0.01,4.0,d,3,50,-41.07025704918364,62.515958556278285
0.01,4.0,db,4,50,1.0398844618273444,2.9494267190058343
0.01,4.0,s,5,50,-41.07025704918364,62.515958556278285
0.01,4.0,sb,6,50,-41.07025704918364,62.515958556278285
0.01,4.0,c,7,50,0.0,0.0
0.01,4.0,cb,8,50,0.0,0.0
0.01,4.0,b,9,50,0.0,0.0
0.01,4.0,bb,10,50,0.0,0.0
0.014924623115577889,4.0,u,1,50,1.332964838386636,3.097846561628429
0.014924623115577889,4.0,ub,2,50,-42.05245833237414,55.798046972195614
0.014924623115577889,4.0,d,3,50,-42.05245833237414,55.798046972195614
0.014924623115577889,4.0,db,4,50,1.332964838386636,3.097846561628429
0.014924623115577889,4.0,s,5,50,-42.05245833237414,55.798046972195614
0.014924623115577889,4.0,sb,6,50,-42.05245833237414,55.798046972195614
0.014924623115577889,4.0,c,7,50,0.0,0.0
0.014924623115577889,4.0,cb,8,50,0.0,0.0
0.014924623115577889,4.0,b,9,50,0.0,0.0
0.014924623115577889,4.0,bb,10,50,0.0,0.0
0.01984924623115578,4.0,u,1,50,1.613021682893734,3.2241485192520543
0.01984924623115578,4.0,ub,2,50,-42.152661836209525,50.65925172178653
0.01984924623115578,4.0,d,3,50,-42.152661836209525,50.65925172178653
0.01984924623115578,4.0,db,4,50,1.613021682893734,3.2241485192520543
0.01984924623115578,4.0,s,5,50,-42.152661836209525,50.65925172178653
0.01984924623115578,4.0,sb,6,50,-42.152661836209525,50.65925172178653
0.01984924623115578,4.0,c,7,50,0.0,0.0
0.01984924623115578,4.0,cb,8,50,0.0,0.0
0.01984924623115578,4.0,b,9,50,0.0,0.0
0.01984924623115578,4.0,bb,10,50,0.0,0.0
0.024773869346733667,4.0,u,1,50,1.8785107458240369,3.329435525938191
0.024773869346733667,4.0,ub,2,50,-41.60606354397397,46.14779909016264
0.024773869346733667,4.0,d,3,50,-41.60606354397397,46.14779909016264
0.024773869346733667,4.0,db,4,50,1.8785107458240369,3.329435525938191
0.024773869346733667,4.0,s,5,50,-41.60606354397397,46.14779909016264
0.024773869346733667,4.0,sb,6,50,-41.60606354397397,46.14779909016264
0.024773869346733667,4.0,c,7,50,0.0,0.0
0.024773869346733667,4.0,cb,8,50,0.0,0.0
0.024773869346733667,4.0,b,9,50,0.0,0.0
0.024773869346733667,4.0,bb,10,50,0.0,0.0
0.029698492462311557,4.0,u,1,50,2.1278565090492854,3.4133835674067545
0.029698492462311557,4.0,ub,2,50,-40.59725647832994,42.01380770278574
0.029698492462311557,4.0,d,3,50,-40.59725647832994,42.01380770278574
0.029698492462311557,4.0,db,4,50,2.1278565090492854,3.4133835674067545
0.029698492462311557,4.0,s,5,50,-40.59725647832994,42.01380770278574
0.029698492462311557,4.0,sb,6,50,-40.59725647832994,42.01380770278574
0.029698492462311557,4.0,c,7,50,0.0,0.0
0.029698492462311557,4.0,cb,8,50,0.0,0.0
0.029698492462311557,4.0,b,9,50,0.0,0.0
0.029698492462311557,4.0,bb,10,50,0.0,0.0
0.03462311557788945,4.0,u,1,50,2.3598518910908393,3.4761060189756283
0.03462311557788945,4.0,ub,2,50,-39.262994794771615,38.17945934278934
0.03462311557788945,4.0,d,3,50,-39.262994794771615,38.17945934278934
0.03462311557788945,4.0,db,4,50,2.3598518910908393,3.4761060189756283
0.03462311557788945,4.0,s,5,50,-39.262994794771615,38.17945934278934
0.03462311557788945,4.0,sb,6,50,-39.262994794771615,38.17945934278934
0.03462311557788945,4.0,c,7,50,0.0,0.0
0.03462311557788945,4.0,cb,8,50,0.0,0.0
0.03462311557788945,4.0,b,9,50,0.0,0.0
0.03462311557788945,4.0,bb,10,50,0.0,0.0
0.03954773869346734,4.0,u,1,50,2.573687417536834,3.5183017373107766
0.03954773869346734,4.0,ub,2,50,-37.70522296736964,34.617402407697966
0.03954773869346734,4.0,d,3,50,-37.70522296736964,34.617402407697966
0.03954773869346734,4.0,db,4,50,2.573687417536834,3.5183017373107766
