x,kT,Q2,flavor,flavor_index,nrep,collins_mean,collins_std
0.01,0.01,4.0,fav,1,50,8.211511779145545e-05,0.00021862944135919927
0.01,0.01,4.0,unf,3,50,-0.01408381212619152,0.03061014686009364
0.01,0.0198989898989899,4.0,fav,1,50,8.211509348385055e-05,0.00021862938217935427
0.01,0.0198989898989899,4.0,unf,3,50,-0.014083803857123383,0.03061012648004058
0.01,0.029797979797979796,4.0,fav,1,50,8.211505308068797e-05,0.00021862928381289866
0.01,0.029797979797979796,4.0,unf,3,50,-0.014083790112602412,0.030610092605118048
0.01,0.039696969696969696,4.0,fav,1,50,8.211499658199543e-05,0.00021862914625989726
0.01,0.039696969696969696,4.0,unf,3,50,-0.014083770892645302,0.030610045235371617
0.01,0.049595959595959596,4.0,fav,1,50,8.211492398781144e-05,0.0002186289695204408
0.01,0.049595959595959596,4.0,unf,3,50,-0.014083746197275426,0.030609984370865016
0.01,0.059494949494949496,4.0,fav,1,50,8.211483529818578e-05,0.00021862875359464576
0.01,0.059494949494949496,4.0,unf,3,50,-0.014083716026522818,0.030609910011680095
0.01,0.06939393939393938,4.0,fav,1,50,8.211473051317912e-05,0.0002186284984826546
0.01,0.06939393939393938,4.0,unf,3,50,-0.014083680380424141,0.0306098221579169
0.01,0.07929292929292929,4.0,fav,1,50,8.211460963286312e-05,0.0002186282041846355
0.01,0.07929292929292929,4.0,unf,3,50,-0.01408363925902274,0.030609720809693597
0.01,0.08919191919191918,4.0,fav,1,50,8.211447265732056e-05,0.00021862787070078252
0.01,0.08919191919191918,4.0,unf,3,50,-0.01408359266236859,0.03060960596714651
0.01,0.09909090909090908,4.0,fav,1,50,8.21143195866451e-05,0.00021862749803131553
0.01,0.09909090909090908,4.0,unf,3,50,-0.01408354059051836,0.030609477630430128
0.01,0.10898989898989898,4.0,fav,1,50,8.211415042094154e-05,0.00021862708617648033
0.01,0.10898989898989898,4.0,unf,3,50,-0.014083483043535336,0.030609335799717086
0.01,0.11888888888888888,4.0,fav,1,50,8.211396516032561e-05,0.00021862663513654842
0.01,0.11888888888888888,4.0,unf,3,50,-0.01408342002148949,0.030609180475198165
0.01,0.12878787878787878,4.0,fav,1,50,8.211376380492406e-05,0.00021862614491181728
0.01,0.12878787878787878,4.0,unf,3,50,-0.014083351524457437,0.030609011657082272
0.01,0.1386868686868687,4.0,fav,1,50,8.21135463548747e-05,0.00021862561550261005
0.01,0.1386868686868687,4.0,unf,3,50,-0.014083277552522436,0.030608829345596517
0.01,0.1485858585858586,4.0,fav,1,50,8.211331281032637e-05,0.0002186250469092759
0.01,0.1485858585858586,4.0,unf,3,50,-0.014083198105774426,0.030608633540986138
0.01,0.15848484848484848,4.0,fav,1,50,8.211306317143877e-05,0.00021862443913218973
0.01,0.15848484848484848,4.0,unf,3,50,-0.01408311318430997,0.030608424243514475
0.01,0.16838383838383839,4.0,fav,1,50,8.211279743838276e-05,0.0002186237921717523
0.01,0.16838383838383839,4.0,unf,3,50,-0.01408302278823233,0.0306082014534631
0.01,0.1782828282828283,4.0,fav,1,50,8.21125156113402e-05,0.0002186231060283902
0.01,0.1782828282828283,4.0,unf,3,50,-0.014082926917651372,0.030607965171131662
0.01,0.18818181818181817,4.0,fav,1,50,8.211221769050385e-05,0.00021862238070255587
0.01,0.18818181818181817,4.0,unf,3,50,-0.014082825572683668,0.03060771539683799
0.01,0.19808080808080808,4.0,fav,1,50,8.211190367607765e-05,0.00021862161619472747
